Platform,Year,Genre,Publisher,NA_Sales
PS3,2009.0,Role-Playing,Square Enix,1.74
GB,1989.0,Puzzle,Nintendo,2.18
GB,1999.0,Misc,Nintendo,3.02
X360,2012.0,Action,Ubisoft,3.13
PS,2000.0,Role-Playing,SquareSoft,1.62
PS2,2003.0,Role-Playing,Electronic Arts,1.92
N64,1999.0,Platform,Nintendo,3.33
X360,2009.0,Action,Ubisoft,3.1
DS,2007.0,Puzzle,Nintendo,1.22
PS,1997.0,Action,Eidos Interactive,2.3
PS2,nan,Sports,Electronic Arts,4.26
PS2,2004.0,Role-Playing,Square Enix,0.65
PC,2012.0,Role-Playing,Activision,2.43
GBA,2003.0,Platform,Nintendo,2.93
WiiU,2012.0,Platform,Nintendo,2.32
GB,1994.0,Platform,Nintendo,2.49
X360,2012.0,Action,Electronic Arts,1.08
DS,2007.0,Action,Nintendo,1.9
SNES,1995.0,Platform,Nintendo,2.1
3DS,2013.0,Simulation,Nintendo,0.96
DS,2008.0,Sports,Sega,1.64
PS2,2003.0,Shooter,Electronic Arts,1.98
GB,1992.0,Platform,Nintendo,2.71
X360,2010.0,Role-Playing,Microsoft Game Studios,3.59
XOne,2014.0,Shooter,Activision,3.21
PC,1996.0,Simulation,Microsoft Game Studios,3.22
PS2,2006.0,Misc,RedOctane,3.81
PS3,2009.0,Action,Capcom,1.96
XOne,2014.0,Action,Take-Two Interactive,2.66
PSP,2006.0,Action,Take-Two Interactive,1.7
PS3,2010.0,Sports,Electronic Arts,0.6
GB,1999.0,Platform,Nintendo,3.4
PS,1996.0,Action,Virgin Interactive,2.05
PS,1999.0,Sports,Activision,3.42
WiiU,2014.0,Fighting,Nintendo,2.59
PS,1999.0,Strategy,Eidos Interactive,2.79
PS,1998.0,Platform,Sony Computer Entertainment,3.36
Wii,2007.0,Shooter,Nintendo,3.06
PS2,2007.0,Misc,Activision,3.49
X360,2008.0,Role-Playing,Bethesda Softworks,3.39
DS,2007.0,Role-Playing,Nintendo,1.85
PS3,2007.0,Action,Sony Computer Entertainment,2.31
PS2,2005.0,Sports,Electronic Arts,3.98
DS,2007.0,Action,LucasArts,2.89
N64,1997.0,Racing,Nintendo,2.91
PSP,2010.0,Role-Playing,Capcom,0.0
NES,1990.0,Puzzle,Nintendo,2.62
PS3,2010.0,Action,Sony Computer Entertainment,2.74
PC,2010.0,Strategy,Activision,2.56
PS3,2007.0,Adventure,Ubisoft,1.91
PS3,2014.0,Sports,Electronic Arts,0.57
PS,1999.0,Racing,Sony Computer Entertainment,2.57
PS4,2016.0,Sports,Electronic Arts,0.28
X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99
PS,2000.0,Action,Atari,2.36
PS2,2003.0,Racing,Vivendi Games,1.73
PS,2000.0,Sports,Activision,3.05
Wii,2008.0,Simulation,Nintendo,1.87
PS2,2002.0,Action,Electronic Arts,1.94
X360,2011.0,Racing,Microsoft Game Studios,2.08
PS,1996.0,Action,Eidos Interactive,2.29
Wii,2007.0,Misc,Activision,3.06
SNES,1991.0,Action,Nintendo,2.42
GC,2002.0,Action,Nintendo,2.6
Wii,2009.0,Sports,Sega,1.89
3DS,2013.0,Action,Nintendo,1.78
WiiU,2015.0,Shooter,Nintendo,1.55
PS4,2014.0,Action,Sony Computer Entertainment,1.78
X360,2007.0,Misc,Activision,3.19
PS2,2004.0,Sports,Electronic Arts,4.18
2600,1981.0,Platform,Activision,4.21
PS2,2006.0,Sports,Electronic Arts,3.63
PS2,2002.0,Action,Activision,2.71
PS,2000.0,Role-Playing,Enix Corporation,0.2
PS4,2015.0,Action,Sony Computer Entertainment,1.96
PS3,2014.0,Shooter,Activision,1.54
PS2,2005.0,Action,Sony Computer Entertainment,2.71
WiiU,2012.0,Misc,Nintendo,2.55
Wii,2010.0,Misc,Ubisoft,2.67
PS2,2001.0,Sports,Activision,2.66
PS2,2006.0,Sports,Konami Digital Entertainment,0.1
X360,2006.0,Role-Playing,Take-Two Interactive,2.82
NES,1987.0,Adventure,Nintendo,2.19
PS2,2005.0,Racing,Electronic Arts,2.03
PS3,2006.0,Shooter,Sony Computer Entertainment,1.73
GEN,1991.0,Platform,Sega,3.03
PS2,2005.0,Role-Playing,Square Enix,2.2
X360,2013.0,Sports,Electronic Arts,0.92
X360,2014.0,Shooter,Activision,2.75
2600,1980.0,Shooter,Atari,4.0
X360,2008.0,Role-Playing,Microsoft Game Studios,2.51
XOne,2015.0,Shooter,Microsoft Game Studios,2.64
WiiU,2013.0,Platform,Nintendo,2.11
PS3,2009.0,Action,Eidos Interactive,2.23
PS3,2011.0,Action,Ubisoft,1.41
GBA,2001.0,Misc,Namco Bandai Games,3.0
PS2,2004.0,Action,Konami Digital Entertainment,1.46
PSP,2006.0,Platform,Sony Computer Entertainment,2.45
PC,1995.0,Strategy,Activision,1.7
3DS,2011.0,Action,Nintendo,2.03
PS2,2005.0,Sports,Electronic Arts,0.78
PS2,2003.0,Misc,Sony Computer Entertainment,0.88
PS4,2016.0,Shooter,Sony Computer Entertainment,1.3
PS3,2007.0,Racing,Sony Computer Entertainment,1.28
X360,2011.0,Action,Ubisoft,2.25
PS3,2009.0,Fighting,Capcom,2.02
X360,2011.0,Sports,Electronic Arts,0.84
NES,1989.0,Action,Palcom,3.38
NES,1984.0,Racing,Nintendo,2.04
PS,1997.0,Action,Hasbro Interactive,3.79
PS2,2002.0,Sports,Electronic Arts,3.36
PS4,2014.0,Action,Ubisoft,1.4
PC,1997.0,Shooter,Vivendi Games,4.03
SNES,1995.0,Platform,Nintendo,1.65
PS2,2006.0,Sports,Electronic Arts,0.71
Wii,2011.0,Action,Nintendo,2.14
SNES,1992.0,Fighting,Capcom,1.42
Wii,2007.0,Misc,Take-Two Interactive,2.13
XOne,2015.0,Role-Playing,Bethesda Softworks,2.45
PC,2007.0,Role-Playing,Activision,2.57
X360,2010.0,Role-Playing,Bethesda Softworks,2.65
PS2,2007.0,Action,Sony Computer Entertainment,2.32
X360,2007.0,Racing,Microsoft Game Studios,2.35
PS2,2005.0,Sports,Konami Digital Entertainment,0.12
PS,1996.0,Misc,Sony Computer Entertainment,2.28
PS2,2000.0,Fighting,Namco Bandai Games,1.68
PS4,2014.0,Shooter,Ubisoft,1.12
N64,1997.0,Shooter,Nintendo,2.78
PS4,2014.0,Misc,Sony Computer Entertainment Europe,1.38
NES,1984.0,Sports,Nintendo,1.22
PS3,2008.0,Role-Playing,Bethesda Softworks,2.15
DS,2007.0,Puzzle,Nintendo,0.92
X360,2009.0,Shooter,Electronic Arts,2.67
PS2,2005.0,Misc,Namco Bandai Games,2.08
Wii,2009.0,Sports,Electronic Arts,2.1
PS4,2014.0,Action,Ubisoft,1.18
GB,1994.0,Platform,Nintendo,1.97
PS2,2003.0,Sports,Activision,2.29
PS3,2013.0,Action,Ubisoft,1.33
3DS,2014.0,Role-Playing,Nintendo,0.67
PS3,2006.0,Racing,Sony Computer Entertainment,1.53
PC,2011.0,Role-Playing,Bethesda Softworks,1.15
PS2,2005.0,Fighting,Namco Bandai Games,0.93
NES,1988.0,Role-Playing,Enix Corporation,0.1
PS3,2010.0,Sports,Sony Computer Entertainment,2.12
PS4,2015.0,Sports,Take-Two Interactive,2.48
PS2,2004.0,Sports,Konami Digital Entertainment,0.16
DS,2007.0,Misc,Nintendo,0.87
PS,1995.0,Misc,Sony Computer Entertainment,2.12
GB,1992.0,Action,Nintendo,2.21
DS,2009.0,Role-Playing,Nintendo,2.26
Wii,2007.0,Misc,Nintendo,1.06
3DS,2011.0,Simulation,Nintendo,1.44
PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.49
Wii,2011.0,Sports,Sega,1.14
X360,2008.0,Action,Activision,2.4
PS,1996.0,Action,Virgin Interactive,1.82
PSP,2007.0,Platform,Sony Computer Entertainment,1.4
Wii,2013.0,Misc,Ubisoft,1.98
PC,2002.0,Simulation,Electronic Arts,2.03
Wii,2007.0,Platform,Nintendo,1.98
PS,2001.0,Action,Electronic Arts,1.37
PS4,2015.0,Role-Playing,Namco Bandai Games,0.96
PS,1999.0,Action,Eidos Interactive,1.3
PS,2000.0,Platform,Sony Computer Entertainment,1.93
PS2,2004.0,Sports,Electronic Arts,0.58
GB,1998.0,Strategy,Nintendo,1.49
PS3,2013.0,Shooter,Electronic Arts,1.3
DS,2007.0,Simulation,Electronic Arts,1.59
DS,2009.0,Misc,Nintendo,0.0
PS2,2002.0,Sports,Activision,2.13
PSP,2005.0,Racing,Take-Two Interactive,1.65
N64,1998.0,Platform,Nintendo,1.87
PS2,2002.0,Shooter,Sony Computer Entertainment,2.53
Wii,2008.0,Misc,Activision,2.33
PS3,2013.0,Racing,Sony Computer Entertainment,0.71
PS2,2001.0,Platform,Sony Computer Entertainment,2.08
N64,1999.0,Simulation,Nintendo,2.23
PS3,2009.0,Sports,Electronic Arts,0.6
PS2,2007.0,Sports,Konami Digital Entertainment,0.05
PS4,2013.0,Shooter,Activision,1.78
PS2,2005.0,Action,Capcom,2.08
PS4,2016.0,Shooter,Ubisoft,1.28
PS2,2004.0,Shooter,LucasArts,1.93
PC,1994.0,Shooter,Virgin Interactive,2.05
PS2,2001.0,Racing,Electronic Arts,2.02
DS,2007.0,Simulation,505 Games,1.61
GC,2001.0,Action,Nintendo,2.38
PS2,2005.0,Shooter,LucasArts,2.18
PS,2000.0,Fighting,THQ,2.01
PS,1997.0,Platform,Fox Interactive,1.57
PS2,2006.0,Action,Take-Two Interactive,1.56
PS2,2002.0,Action,Sony Computer Entertainment,1.23
PS,1997.0,Action,Eidos Interactive,1.66
PS2,2001.0,Shooter,Electronic Arts,1.9
PS2,2005.0,Action,Eidos Interactive,1.98
X360,2013.0,Shooter,Electronic Arts,2.14
X360,2010.0,Sports,Electronic Arts,0.71
PS,2000.0,Action,THQ,1.96
PS,1999.0,Platform,Sony Computer Entertainment,2.14
X360,2008.0,Shooter,Electronic Arts,2.66
DS,2009.0,Sports,Sega,1.22
X360,2009.0,Action,Capcom,2.11
SNES,1996.0,Platform,Nintendo,1.17
X360,2010.0,Action,Ubisoft,2.84
NES,1985.0,Action,Nintendo,1.64
X360,2009.0,Action,Eidos Interactive,2.2
DS,2006.0,Misc,Nintendo,0.59
PS2,nan,Sports,Electronic Arts,0.59
XOne,2015.0,Shooter,Electronic Arts,1.94
X360,2010.0,Shooter,Electronic Arts,2.09
DS,2008.0,Misc,Activision,2.11
XOne,2014.0,Action,Ubisoft,2.26
PS3,2012.0,Shooter,Ubisoft,0.88
3DS,2013.0,Role-Playing,Capcom,0.0
X360,2009.0,Shooter,Take-Two Interactive,2.39
PS2,2002.0,Fighting,Namco Bandai Games,1.55
PS4,2013.0,Shooter,Electronic Arts,1.34
PS3,2011.0,Platform,Sony Computer Entertainment,1.82
PS,1998.0,Action,Take-Two Interactive,1.13
SNES,1994.0,Role-Playing,SquareSoft,0.86
PS2,2004.0,Action,Activision,1.75
GB,1990.0,Racing,Nintendo,1.73
PS2,2002.0,Sports,Electronic Arts,0.46
PS,2000.0,Misc,Sony Computer Entertainment,1.56
X360,2008.0,Action,Warner Bros. Interactive Entertainment,2.03
PS4,2015.0,Action,Konami Digital Entertainment,1.08
DS,2009.0,Action,Nintendo,1.43
PS,1998.0,Fighting,Acclaim Entertainment,2.47
N64,2000.0,Action,Nintendo,1.9
DS,2008.0,Puzzle,Nintendo,0.65
PS,1998.0,Adventure,THQ,1.63
X360,2013.0,Action,Ubisoft,1.9
DS,2006.0,Misc,Nintendo,0.0
PS2,2002.0,Shooter,Electronic Arts,1.45
PS2,2002.0,Platform,Sony Computer Entertainment,1.44
Wii,2012.0,Misc,Nintendo,1.15
PS2,2005.0,Action,LucasArts,1.47
PS2,2001.0,Shooter,Take-Two Interactive,1.99
PS2,2003.0,Action,Electronic Arts,1.5
PS4,2015.0,Action,Ubisoft,0.8
XOne,2014.0,Shooter,Activision,2.13
PS2,2003.0,Action,Activision,1.89
Wii,2008.0,Misc,Nintendo,1.36
PSP,2009.0,Racing,Sony Computer Entertainment,0.5
3DS,2015.0,Action,Capcom,0.25
PS,1995.0,Fighting,Sony Computer Entertainment,0.95
XOne,2015.0,Sports,Electronic Arts,0.88
PS3,2011.0,Adventure,Take-Two Interactive,1.27
PS4,2015.0,Sports,Electronic Arts,2.33
3DS,2014.0,Role-Playing,Nintendo,0.03
PS,1999.0,Shooter,Electronic Arts,1.72
NES,1983.0,Sports,Nintendo,0.73
SNES,1995.0,Fighting,Nintendo,2.26
PS,2000.0,Fighting,THQ,1.76
PSP,2007.0,Role-Playing,Square Enix,1.35
PSP,2008.0,Action,Sony Computer Entertainment,1.48
SNES,1995.0,Role-Playing,Enix Corporation,0.0
X360,2010.0,Misc,MTV Games,2.15
PS2,2003.0,Action,Atari,1.78
WiiU,2015.0,Platform,Nintendo,1.18
PS3,2010.0,Role-Playing,Bethesda Softworks,1.52
Wii,nan,Action,Warner Bros. Interactive Entertainment,1.86
DS,2008.0,Misc,Nintendo,0.58
PS2,2001.0,Simulation,Sony Computer Entertainment Europe,2.06
DS,2008.0,Adventure,Disney Interactive Studios,1.88
GC,2001.0,Simulation,Nintendo,1.92
DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.79
DS,2005.0,Platform,Sega,1.22
PS3,2012.0,Shooter,Capcom,0.88
XOne,2014.0,Shooter,Microsoft Game Studios,1.89
PS2,2007.0,Sports,Electronic Arts,0.68
PS,2000.0,Action,Activision,1.7
PS,1998.0,Racing,Electronic Arts,2.14
N64,1999.0,Racing,Nintendo,2.31
DS,2006.0,Misc,Nintendo,0.91
PS3,2007.0,Role-Playing,Ubisoft,1.69
NES,1990.0,Role-Playing,Enix Corporation,0.08
PS3,2010.0,Adventure,Sony Computer Entertainment,1.29
X360,2010.0,Role-Playing,Electronic Arts,1.99
X360,2014.0,Sports,Electronic Arts,0.78
PS2,2002.0,Fighting,Atari,2.17
PS2,2001.0,Sports,Electronic Arts,2.5
NES,1986.0,Sports,Namco Bandai Games,1.92
X360,2012.0,Shooter,Take-Two Interactive,1.89
3DS,2013.0,Action,Nintendo,1.4
GB,1994.0,Platform,Nintendo,1.57
PC,2002.0,Simulation,Electronic Arts,1.72
X360,2012.0,Role-Playing,Electronic Arts,1.94
X360,2008.0,Action,Activision,1.91
X360,2012.0,Shooter,Ubisoft,1.38
Wii,2010.0,Platform,Disney Interactive Studios,2.06
X360,2008.0,Action,THQ,1.94
PS,1995.0,Platform,Ubisoft,1.54
PS3,2009.0,Shooter,Sony Computer Entertainment,1.4
XB,2002.0,Action,Ubisoft,1.85
NES,1987.0,Fighting,Nintendo,2.03
PS2,2002.0,Sports,THQ,1.45
XOne,2015.0,Shooter,Microsoft Game Studios,2.38
X360,2012.0,Sports,Take-Two Interactive,2.6
PS2,2007.0,Fighting,Atari,1.15
PS2,nan,Fighting,nan,1.57
PS4,2014.0,Action,Warner Bros. Interactive Entertainment,1.01
SNES,1993.0,Shooter,Nintendo,1.61
PC,2000.0,Misc,Electronic Arts,1.67
PS2,2002.0,Sports,Konami Digital Entertainment,0.12
PS2,2001.0,Action,Capcom,1.36
3DS,2015.0,Simulation,Nintendo,0.47
PS3,2010.0,Shooter,Electronic Arts,1.33
PC,2014.0,Simulation,Electronic Arts,0.96
PC,2011.0,Role-Playing,Electronic Arts,1.58
PS2,2003.0,Platform,Sega,1.04
DS,2008.0,Platform,Nintendo,1.57
PS2,2002.0,Action,Eidos Interactive,1.36
X360,2009.0,Fighting,Capcom,1.82
N64,1996.0,Racing,Nintendo,1.98
PS2,2003.0,Shooter,Sony Computer Entertainment,2.22
PS2,2005.0,Fighting,THQ,1.45
PS3,2009.0,Action,Sony Computer Entertainment,1.76
GBA,2001.0,Puzzle,Atari,2.07
X360,2007.0,Role-Playing,Microsoft Game Studios,1.83
Wii,2006.0,Puzzle,Nintendo,0.87
Wii,2007.0,Simulation,505 Games,1.43
GBA,2002.0,Platform,Nintendo,1.75
PS4,2013.0,Sports,Electronic Arts,0.61
XOne,2014.0,Shooter,Electronic Arts,1.84
PS2,2004.0,Misc,Sega,1.54
X360,2008.0,Sports,Sega,1.75
PS2,2003.0,Sports,Konami Digital Entertainment,0.08
PS3,2012.0,Racing,Electronic Arts,0.71
PS2,2001.0,Sports,Sony Computer Entertainment,0.99
PS2,2004.0,Shooter,Activision,1.51
Wii,2011.0,Sports,Majesco Entertainment,1.54
PS,1999.0,Shooter,Sony Computer Entertainment,2.03
DS,2007.0,Simulation,Ubisoft,1.3
PS,1998.0,Racing,Codemasters,0.09
XOne,2013.0,Shooter,Activision,1.87
X360,2012.0,Sports,Electronic Arts,2.53
XB,2002.0,Role-Playing,Ubisoft,2.09
PS3,2011.0,Fighting,Warner Bros. Interactive Entertainment,1.98
SNES,1990.0,Racing,Nintendo,1.37
N64,1997.0,Platform,Nintendo,1.29
PC,1996.0,Strategy,Virgin Interactive,1.37
Wii,2011.0,Action,Activision,1.4
PS3,2015.0,Sports,Electronic Arts,0.4
PS3,2010.0,Action,Ubisoft,1.87
X360,2007.0,Shooter,Take-Two Interactive,1.65
X360,2009.0,Sports,Electronic Arts,2.52
PS3,2010.0,Shooter,Electronic Arts,1.28
PS2,2002.0,Fighting,THQ,1.32
GC,2002.0,Shooter,Nintendo,1.96
GBA,2003.0,Action,THQ,1.59
PC,1994.0,Adventure,Red Orb,0.02
PS3,2010.0,Racing,Electronic Arts,1.05
DS,2007.0,Simulation,Ubisoft,1.32
PS2,2003.0,Fighting,THQ,1.32
X360,2008.0,Action,LucasArts,1.74
DS,2006.0,Platform,Nintendo,1.47
PS,1997.0,Sports,Sony Computer Entertainment,0.29
PS3,2011.0,Shooter,Sony Computer Entertainment,1.45
PS,1998.0,Platform,Sony Computer Entertainment,1.96
PS2,2001.0,Fighting,THQ,1.19
SNES,1992.0,Role-Playing,Enix Corporation,0.0
PS,1996.0,Fighting,GT Interactive,1.98
PC,2011.0,Shooter,Electronic Arts,0.89
PS2,2001.0,Sports,Electronic Arts,2.19
DS,2009.0,Puzzle,Nintendo,0.3
3DS,2011.0,Role-Playing,Nintendo,0.46
PS2,2003.0,Platform,Sony Computer Entertainment,1.68
PS4,2014.0,Action,Sony Computer Entertainment,1.27
PS2,2003.0,Platform,Sony Computer Entertainment,1.44
PS3,2009.0,Fighting,Namco Bandai Games,1.2
PS2,2003.0,Simulation,Electronic Arts,1.41
Wii,2007.0,Platform,Sega,1.24
X360,2011.0,Action,THQ,1.25
2600,1980.0,Shooter,Atari,2.56
SNES,1992.0,Misc,Nintendo,1.43
PS4,2013.0,Action,Ubisoft,1.07
N64,2000.0,Strategy,Nintendo,1.02
NES,1986.0,Action,Nintendo,1.33
X360,2011.0,Adventure,Take-Two Interactive,1.52
X360,2006.0,Shooter,Activision,1.49
GBA,2002.0,Action,Nintendo,1.75
PS2,2001.0,Action,Virgin Interactive,0.99
PS4,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.47
N64,1998.0,Misc,Nintendo,1.25
X360,2011.0,Sports,Electronic Arts,2.42
PS2,2006.0,Action,LucasArts,1.85
X360,2010.0,Sports,Electronic Arts,2.38
DS,2010.0,Puzzle,Nintendo,1.63
X360,2010.0,Sports,Electronic Arts,1.46
PS2,2004.0,Racing,Electronic Arts,1.23
3DS,2014.0,Role-Playing,Level 5,0.0
PS3,2009.0,Racing,Electronic Arts,0.69
PS3,2011.0,Role-Playing,Square Enix,0.78
GEN,1992.0,Fighting,Arena Entertainment,1.95
PS2,2005.0,Shooter,Activision,1.48
