Platform,Year,Genre,Publisher,NA_Sales
5,2008,3,6,215
3,2007,4,0,92
4,2009,6,7,267
6,2005,5,25,208
0,2009,0,7,210
10,2014,8,5,118
2,1994,1,0,197
6,2003,0,4,229
5,2013,8,5,133
9,2014,3,0,67
5,2006,2,3,153
14,2011,3,6,114
6,2005,9,25,93
1,1988,3,24,10
5,2010,0,3,212
10,2015,0,2,248
6,2004,0,14,16
3,2007,5,0,87
12,1995,5,3,212
2,1992,8,0,221
3,2009,3,0,225
0,2007,5,0,106
9,2011,7,0,144
10,2015,8,19,149
0,2011,0,8,113
4,2008,8,4,240
12,1996,8,18,182
16,2007,1,3,140
0,2013,5,5,198
14,2002,7,7,202
0,2007,1,0,198
12,2001,8,7,137
10,2015,3,25,96
12,1999,8,21,130
12,2000,1,3,193
6,2004,0,7,57
2,1998,11,0,149
5,2013,6,7,130
3,2007,7,7,159
3,2009,5,0,26
6,2002,0,4,213
16,2005,2,2,165
11,1998,1,0,187
6,2002,6,3,252
0,2008,5,4,233
5,2013,2,3,71
6,2001,1,3,208
11,1999,7,0,223
5,2009,0,7,60
6,2007,0,14,5
10,2013,6,4,178
6,2005,8,12,208
10,2016,6,5,128
6,2004,6,17,193
14,1994,6,18,204
6,2001,2,7,202
3,2007,7,11,161
18,2001,8,0,238
6,2005,6,17,218
12,2000,9,28,200
12,1997,1,29,157
6,2006,8,2,156
6,2002,8,3,123
12,1997,8,21,166
6,2001,6,7,190
6,2005,8,21,198
4,2013,6,7,214
4,2010,0,7,71
12,2000,8,28,196
12,1999,1,3,214
4,2008,6,7,266
3,2009,0,8,122
4,2009,8,12,211
7,1996,1,0,117
4,2010,8,5,284
1,1985,8,0,164
4,2009,8,21,220
3,2006,5,0,59
6,2006,0,7,59
17,2015,6,7,194
4,2010,6,7,209
3,2008,5,4,211
17,2014,8,5,225
5,2012,6,5,88
9,2013,3,12,26
4,2009,6,2,239
6,2002,9,25,155
10,2013,6,7,134
5,2011,1,3,182
12,1998,8,2,112
7,1994,3,9,86
6,2004,8,4,175
2,1990,2,0,173
6,2002,0,7,46
12,2000,5,3,156
4,2008,8,19,202
10,2015,8,14,108
3,2009,8,0,143
12,1998,9,30,247
11,2000,8,0,190
3,2008,4,0,65
12,1998,10,28,163
4,2013,8,5,190
3,2006,5,0,26
6,2002,6,7,145
6,2002,1,3,144
0,2012,5,0,114
6,2005,8,17,147
6,2001,6,2,199
6,2003,8,7,150
10,2015,8,5,80
17,2014,6,4,213
6,2003,8,4,189
0,2008,5,0,136
16,2009,2,3,50
9,2015,8,12,25
12,1995,9,3,95
17,2015,0,7,88
5,2011,10,2,127
10,2015,0,7,233
9,2014,3,0,3
12,1999,6,7,172
1,1983,0,0,73
7,1995,9,0,225
12,2000,9,28,176
16,2007,3,16,135
16,2008,8,3,148
7,1995,3,24,26
4,2010,5,31,215
6,2003,8,10,178
19,2015,1,0,118
5,2010,3,6,152
0,2006,8,19,186
3,2008,5,0,57
6,2001,7,15,206
3,2008,10,32,188
18,2001,7,0,192
3,2008,8,19,179
3,2005,1,8,122
5,2012,6,12,88
17,2014,6,1,189
6,2007,0,7,68
12,2000,8,4,170
12,1998,2,7,214
11,1999,2,0,231
3,2006,5,0,91
5,2007,3,5,169
1,1990,3,24,8
5,2010,10,3,129
4,2010,3,7,199
4,2014,0,7,78
6,2002,9,10,217
6,2001,0,7,250
1,1986,0,25,192
4,2012,6,2,189
9,2013,8,0,140
2,1994,1,0,157
14,2002,7,7,172
4,2012,3,7,194
4,2008,8,4,191
4,2012,6,5,138
0,2010,1,32,206
4,2008,8,28,194
12,1995,1,5,154
5,2009,6,3,140
13,2002,8,5,185
1,1987,9,0,202
6,2002,0,28,145
17,2015,6,1,238
4,2012,0,2,260
6,2007,9,10,114
6,2006,9,61,157
10,2014,8,19,101
7,1993,6,0,161
14,2000,5,7,167
6,2002,0,14,12
6,2001,8,12,136
9,2015,7,0,47
5,2010,6,7,133
14,2014,7,7,96
14,2011,3,7,158
6,2003,1,8,104
3,2008,1,0,157
6,2002,8,21,136
4,2009,9,12,182
11,1996,2,0,198
6,2003,6,3,222
6,2005,9,28,145
5,2009,8,3,176
8,2001,4,10,206
4,2007,3,1,183
0,2006,4,0,87
0,2007,7,11,143
8,2002,1,0,175
10,2013,0,7,61
17,2014,6,7,184
6,2004,5,8,154
4,2008,0,8,175
6,2003,0,14,8
5,2012,2,7,71
6,2001,0,3,99
6,2004,6,4,151
0,2011,0,34,154
12,1999,6,3,202
3,2007,7,5,130
12,1998,2,35,9
17,2013,6,4,187
4,2012,0,7,252
13,2002,3,5,209
5,2011,9,19,198
7,1990,2,0,137
11,1997,1,0,129
14,1996,11,18,137
0,2011,8,4,140
5,2015,0,7,40
5,2010,8,5,187
4,2007,6,2,165
4,2009,0,7,252
5,2010,6,7,128
6,2002,9,28,132
18,2002,6,0,196
8,2003,8,28,159
14,1994,10,36,2
5,2010,2,7,105
3,2007,7,5,132
6,2003,9,28,132
4,2008,8,17,174
3,2006,1,0,147
12,1997,0,3,28
5,2011,6,3,145
12,1998,1,3,196
6,2001,9,28,119
7,1992,3,24,26
12,1996,9,13,198
14,2011,6,7,89
6,2001,0,7,219
3,2009,4,0,30
9,2011,3,0,46
6,2003,1,3,168
10,2014,8,3,127
6,2003,1,3,144
5,2009,9,25,120
6,2003,7,7,141
0,2007,1,8,124
4,2011,8,28,125
15,1980,6,10,256
7,1992,5,0,143
10,2013,8,5,107
11,2000,11,0,102
1,1986,8,0,133
4,2011,10,2,152
4,2006,6,4,149
8,2002,8,0,175
6,2001,8,18,99
10,2015,9,19,147
11,1998,5,0,125
4,2011,0,7,242
6,2006,8,17,185
4,2010,0,7,238
3,2010,4,0,163
4,2010,0,7,146
6,2004,2,7,123
9,2014,3,37,26
5,2009,2,7,69
5,2011,3,16,78
20,1992,9,38,195
6,2005,6,4,148
4,2008,5,4,178
12,1998,6,7,144
13,2004,3,1,199
3,2006,8,32,159
6,2003,8,5,114
0,2012,8,4,156
16,2006,6,7,86
1,1986,1,0,26
11,1996,8,0,200
4,2007,8,17,153
6,2000,2,2,200
16,2006,9,3,76
4,2009,11,1,153
5,2009,8,3,170
6,2004,0,8,215
0,2007,0,0,107
4,2010,6,7,155
4,2009,0,7,59
4,2011,0,2,231
3,2008,7,0,63
6,2002,8,7,90
0,2010,1,0,102
20,1990,8,8,186
5,2008,0,7,48
5,2007,1,3,93
6,2004,0,7,202
16,2009,1,3,64
10,2013,6,3,89
4,2009,8,2,104
16,2007,3,12,37
6,2006,9,28,140
6,2004,1,3,131
3,2010,5,0,28
4,2009,3,7,176
6,2007,0,7,214
18,2001,1,8,170
1,1987,3,24,15
5,2012,0,7,211
18,2003,3,0,121
0,2008,0,14,112
4,2008,0,7,221
15,2006,6,10,236
6,2001,2,30,112
11,2000,8,0,155
0,2007,5,39,150
1,1986,3,12,49
5,2013,8,16,60
4,2006,3,4,229
6,2008,0,14,13
11,1999,5,0,128
5,2011,8,28,86
13,2003,8,2,184
0,2010,8,19,129
6,2002,9,39,181
5,2008,6,3,114
4,2008,2,32,138
12,1998,8,21,114
5,2012,0,2,172
4,2006,5,7,193
4,2013,0,2,210
18,2002,5,0,112
0,2010,5,28,167
5,2008,2,2,155
7,1992,3,9,26
12,1997,3,9,93
12,1996,2,3,212
4,2011,6,1,144
16,2006,2,7,87
6,2003,7,7,107
14,1997,10,36,152
4,2008,6,5,156
21,1998,1,8,126
1,1988,0,0,127
5,2010,0,14,28
6,2003,9,10,163
6,2001,2,3,206
12,1998,8,12,81
17,2014,5,1,143
6,2007,2,7,69
17,2015,0,7,206
12,1996,4,40,210
1,1987,9,0,77
14,1997,11,7,229
8,2006,10,14,215
10,2015,2,7,49
4,2010,0,11,174
0,2006,8,17,154
14,1994,5,27,149
5,2013,8,19,107
4,2011,8,41,148
6,2005,5,22,167
5,2007,8,17,102
4,2011,5,1,173
11,1998,9,28,194
10,2015,8,3,100
10,2014,0,2,146
5,2010,0,7,204
6,2001,5,14,115
4,2007,0,7,218
14,2004,6,23,227
6,2004,8,28,96
6,2004,0,4,125
5,2009,0,7,202
4,2011,0,1,138
2,1995,1,0,69
3,2010,8,19,107
2,1996,1,0,139
2,1998,3,21,26
4,2008,2,2,168
0,2013,1,4,132
6,2007,9,28,92
0,2008,0,5,120
6,2001,8,12,108
4,2010,7,7,127
9,2015,8,0,113
17,2015,0,2,193
0,2010,5,5,157
11,2000,0,0,78
12,1997,8,2,79
6,2004,6,7,85
3,2004,4,0,52
12,1999,2,7,158
7,1995,3,9,28
12,1998,0,42,165
4,2013,8,19,124
14,2012,8,43,95
3,2008,3,0,95
5,2011,8,41,108
14,1997,8,21,91
5,2013,8,3,123
13,2004,2,7,138
5,2009,0,14,30
0,2014,5,5,111
9,2015,8,37,26
1,1983,1,0,51
6,2008,0,7,38
5,2008,8,17,101
5,2012,6,2,105
12,1997,2,35,7
9,2012,3,0,112
5,2009,5,8,134
0,2006,5,8,107
8,2002,1,0,122
8,2001,1,0,90
5,2007,5,4,140
0,2006,6,4,119
0,2007,8,12,134
22,2014,5,15,28
6,2002,10,12,62
12,1997,0,44,152
18,2004,3,0,148
5,2011,0,7,193
0,2009,3,0,67
16,2008,9,16,51
8,2001,1,8,119
8,2001,1,23,129
1,1990,8,14,174
3,2008,8,4,142
6,2009,7,14,109
19,2013,1,0,127
6,2003,8,5,88
3,2009,4,19,171
2,1998,10,0,100
4,2010,2,7,103
4,2010,6,2,145
17,2013,8,5,147
6,2006,8,12,106
4,2008,5,7,178
15,1981,8,45,206
4,2007,5,4,200
2,2000,1,0,111
1,1986,0,25,15
0,2008,1,8,128
3,2007,4,32,106
5,2011,8,14,34
4,2006,8,28,117
13,2003,3,4,168
2,1992,5,0,87
2,2000,1,0,104
5,2012,8,16,59
2,2000,3,14,26
6,2002,2,28,192
17,2013,2,1,121
4,2013,0,7,197
3,2006,3,0,129
8,2003,3,0,148
4,2010,3,16,127
11,1998,7,0,160
1,1984,0,0,48
14,2001,7,7,123
0,2009,0,5,151
12,2000,6,3,150
10,2015,6,5,54
1,1987,0,0,14
17,2014,0,7,60
16,2007,6,4,52
7,1996,3,0,66
1,1983,5,0,1
1,1988,2,0,147
14,1992,7,46,120
15,1981,6,47,199
6,2004,7,14,104
3,2006,4,0,64
8,2003,3,9,82
10,2016,8,5,59
3,2010,8,32,93
3,2006,3,16,91
0,2010,1,0,147
13,2001,2,1,137
2,1989,0,0,83
5,2011,0,2,161
5,2009,6,2,120
11,2000,0,4,168
5,2008,0,14,11
6,2002,2,7,168
0,2010,0,0,90
0,2006,5,31,135
6,2003,8,48,63
4,2011,9,19,163
12,1998,3,9,94
6,2002,1,28,117
13,2002,8,1,154
16,2005,2,7,177
4,2011,6,49,141
6,2005,8,12,99
12,1997,0,50,26
4,2006,8,12,115
6,2003,8,28,126
4,2010,8,2,184
0,2009,5,51,197
3,2006,7,7,92
10,2015,6,7,70
16,2010,8,14,46
14,2010,3,4,177
6,2002,4,28,111
5,2008,2,7,63
0,2007,7,14,136
18,2003,5,0,97
5,2010,8,2,59
14,1998,11,7,204
14,1994,11,4,89
5,2010,0,7,79
12,2002,6,2,154
16,2010,3,16,63
4,2009,9,28,148
5,2011,3,25,75
8,2001,11,14,164
4,2007,2,7,104
5,2010,7,7,73
4,2010,8,5,120
8,2005,3,0,71
8,2004,8,28,114
12,1998,2,25,68
6,2003,9,25,106
9,2013,3,0,89
5,2007,2,7,73
3,2008,5,2,123
5,2013,0,2,143
3,2005,3,0,115
18,2002,5,52,147
5,2013,3,4,71
20,1992,0,38,175
4,2007,2,1,48
3,2009,3,16,111
4,2011,5,1,145
0,2008,5,5,73
6,2006,6,3,174
6,2005,8,5,71
8,2003,1,0,120
5,2011,8,7,57
10,2014,0,7,153
11,1998,0,0,125
4,2011,5,5,147
6,2003,0,7,157
5,2008,8,7,105
4,2005,6,4,181
4,2014,0,7,176
4,2012,2,1,82
3,2007,4,39,49
17,2016,6,5,120
5,2013,8,19,77
9,2012,3,0,89
10,2014,2,3,35
7,1993,9,0,52
5,2008,9,39,148
12,1997,8,4,95
2,1989,0,0,75
8,2002,8,7,121
12,2002,8,7,75
7,1991,7,0,93
17,2013,6,7,125
4,2012,6,12,111
10,2014,3,7,72
3,2010,1,8,99
6,2002,1,20,74
0,2008,6,4,120
6,2003,8,12,71
5,2008,2,7,101
15,1981,8,10,184
4,2013,6,2,122
16,2004,0,3,50
1,1986,2,0,112
1,1985,0,0,18
3,2006,1,0,79
4,2006,6,5,109
4,2014,6,4,130
6,2003,2,23,74
13,2005,8,2,126
14,1994,6,17,109
6,2003,0,7,169
6,2003,9,7,95
4,2008,0,7,49
14,1999,5,32,194
12,2001,10,28,59
2,1989,4,0,96
6,2004,9,10,109
12,1997,2,3,141
6,2002,6,5,142
6,2004,3,4,100
4,2013,8,19,114
5,2008,5,4,110
7,1993,9,30,148
23,1995,9,8,34
2,1998,4,0,106
4,2008,9,39,153
5,2014,8,5,56
0,2008,0,0,151
4,2013,8,16,86
2,2001,8,0,92
4,2009,2,7,73
0,2008,5,7,87
6,2001,6,28,76
14,2003,7,7,103
6,2004,2,28,94
12,1996,5,3,26
0,2009,5,32,106
11,2000,5,0,72
0,2008,8,17,113
0,2008,5,39,130
10,2015,6,4,77
0,2011,8,17,108
18,2001,7,17,103
5,2012,6,2,59
10,2013,2,7,73
5,2008,0,7,156
9,2013,3,0,21
5,2009,1,3,105
12,1999,3,14,137
6,2004,9,39,92
12,1999,0,3,25
6,2005,6,7,89
12,1998,9,28,142
6,2007,5,32,47
18,2002,10,0,96
12,1998,0,7,22
6,2001,8,28,53
9,2013,1,0,73
2,2001,10,0,87
13,2005,0,7,175
6,2004,1,4,112
12,1999,3,3,94
11,1997,1,30,137
6,2004,5,3,26
10,2014,1,3,64
6,2001,0,7,91
3,2009,8,32,134
12,1999,3,9,62
0,2010,8,4,85
9,2013,5,0,61
6,2004,1,3,133
0,2007,5,5,83
8,2004,3,16,126
1,1984,8,0,80
5,2011,8,3,105
6,2001,2,53,26
5,2009,3,25,97
6,2005,0,7,153
11,1998,7,0,83
8,2005,5,28,131
14,2012,3,4,84
12,1996,2,3,133
10,2015,8,16,46
7,1993,3,9,25
4,2007,6,7,109
12,1995,7,3,92
9,2014,1,0,61
20,1994,1,8,124
6,2001,5,25,173
14,2001,7,7,181
0,2007,6,0,91
3,2010,3,0,22
10,2014,8,6,55
6,2003,7,14,105
21,2000,2,8,110
6,2002,9,8,78
6,2004,1,3,88
6,2008,5,4,100
8,2002,1,8,93
4,2006,0,7,166
5,2010,8,2,141
12,1999,0,42,100
5,2015,6,4,49
7,1994,1,18,126
5,2013,10,3,52
4,2012,8,1,105
6,2003,2,2,125
3,2006,3,16,23
12,2001,8,28,112
6,2004,8,3,39
9,2011,4,0,32
5,2010,8,16,45
5,2012,3,12,41
19,2013,8,0,93
6,2005,8,23,85
0,2007,5,32,115
19,2013,5,0,31
5,2013,0,7,159
7,1991,3,54,24
11,2000,1,0,63
13,2001,9,1,119
5,2009,9,28,107
2,1991,10,0,85
12,1998,9,30,127
6,2004,1,28,106
8,2001,3,0,93
20,1994,1,8,102
1,1986,1,0,53
6,2004,9,7,86
13,2002,6,5,123
6,2002,8,2,86
5,2013,6,2,72
4,2012,8,16,68
8,2007,8,28,126
4,2015,6,4,111
6,2004,7,7,52
5,2007,0,7,35
6,2001,7,4,61
12,1998,0,7,168
5,2013,3,16,90
13,2004,6,4,124
6,2001,0,14,6
4,2007,6,1,100
1,1991,4,0,70
7,1993,1,12,94
1,1993,1,0,79
3,2009,7,11,83
6,2008,7,14,85
8,2004,5,28,125
12,1999,10,17,72
6,2002,3,25,63
5,2011,6,55,83
0,2009,5,31,119
17,2015,2,1,69
0,2010,1,8,96
11,1996,2,0,169
12,1998,0,7,166
10,2014,3,4,49
22,2011,6,3,59
5,2014,6,4,67
6,2001,0,7,85
10,2016,6,4,64
12,1998,8,42,148
2,2001,8,7,94
0,2013,8,32,114
8,2002,1,20,95
4,2012,8,6,106
6,2003,8,2,85
10,2015,6,3,61
10,2015,3,6,66
6,2008,6,4,61
3,2008,7,5,70
14,2011,6,4,41
13,2004,0,7,161
6,2003,3,5,80
14,2010,7,7,59
0,2009,4,19,143
12,1998,1,4,99
3,2007,5,51,114
6,2004,7,15,88
13,2003,2,7,109
3,2006,5,0,26
8,2001,4,28,125
0,2009,0,56,158
10,2014,2,5,34
6,2009,0,7,23
0,2008,0,25,99
3,2007,4,0,49
0,2011,1,0,62
7,1993,4,57,26
3,2007,8,58,69
6,2006,0,7,141
6,2005,6,3,122
17,2014,0,2,136
5,2008,8,28,88
4,2013,8,41,101
12,1999,5,3,94
5,2009,3,7,96
4,2015,0,7,55
11,1997,9,28,137
12,1998,9,28,110
8,2001,8,7,87
4,2008,2,7,79
8,2002,3,52,152
14,2010,11,2,98
18,2005,8,12,98
22,2012,8,4,80
16,2007,6,17,90
6,2006,5,59,82
12,1997,0,3,158
4,2012,8,19,90
2,1992,4,0,59
12,1997,6,25,38
14,2003,7,7,167
0,2008,8,17,123
0,2007,7,7,91
8,2002,8,0,118
0,2008,0,5,94
6,2003,0,7,93
0,2008,0,28,45
12,2000,0,7,158
5,2006,9,7,81
10,2013,1,15,43
13,2005,6,4,122
1,1989,1,12,91
12,2001,0,4,109
8,2001,10,28,59
14,2013,11,4,82
13,2003,2,1,97
6,2001,2,39,112
6,2003,0,7,135
6,2003,1,28,108
10,2015,8,19,63
5,2007,8,3,56
20,1992,9,8,100
6,2000,0,7,78
4,2012,6,2,86
6,2004,0,39,81
4,2006,2,7,76
6,2002,0,7,125
6,2005,9,10,96
15,1981,4,10,154
18,2004,5,0,90
7,1991,6,0,106
0,2011,5,25,48
6,2004,3,24,26
4,2008,6,7,109
3,2007,3,16,32
8,2004,1,0,80
0,2011,8,32,76
15,1982,4,10,152
12,1999,6,60,93
1,1986,8,12,74
6,2002,0,7,80
6,2005,0,7,144
6,2004,8,5,54
4,2010,7,1,102
10,2015,10,15,44
13,2004,0,8,154
4,2006,7,1,45
18,2001,11,0,78
14,2006,6,4,57
5,2011,1,8,60
6,2003,0,7,118
12,1999,1,3,71
4,2014,0,2,133
6,2004,0,7,132
4,2010,8,16,59
5,2006,5,7,99
6,2005,0,4,80
4,2011,6,6,82
3,2006,0,0,99
18,2003,2,0,101
12,1998,2,7,90
0,2006,3,0,80
6,2004,0,7,79
4,2013,6,1,92
2,1989,0,0,66
2,1998,11,14,26
18,2005,0,0,98
6,2005,5,3,26
3,2007,8,28,150
17,2014,6,5,79
0,2008,7,14,95
3,2011,5,4,40
6,2005,8,2,130
4,2008,8,5,71
11,1998,2,61,46
15,1981,6,4,149
12,1999,8,14,71
3,2008,3,16,19
10,2016,8,62,57
18,2003,1,8,105
6,2004,0,63,126
14,1996,3,4,1
18,2006,8,0,114
12,1996,9,3,61
5,2008,8,12,57
15,1982,1,10,148
5,2007,0,14,4
4,2008,9,5,92
4,2010,8,19,95
12,1999,2,7,88
10,2014,6,6,47
0,2008,0,2,87
3,2008,5,4,85
3,2008,7,7,81
12,2000,5,3,88
4,2012,2,7,62
0,2009,5,4,94
3,2008,5,32,64
9,2012,8,16,88
3,2007,8,32,106
3,2009,3,0,57
8,2002,1,23,85
6,2009,0,14,10
6,2001,0,7,77
6,2002,6,64,98
18,2005,5,0,95
5,2012,0,14,18
6,2000,2,2,77
6,2006,9,7,107
1,1988,1,0,59
12,1995,8,3,132
10,2016,3,25,57
7,1990,8,12,67
2,2001,3,24,26
8,2003,5,0,68
10,2013,8,19,59
4,2010,8,2,84
5,2012,8,6,72
6,2002,2,10,76
13,2003,6,5,91
0,2008,0,10,79
5,2010,6,2,85
11,2000,8,7,112
12,2001,8,4,56
17,2014,8,5,90
5,2010,8,17,80
5,2011,3,25,60
14,1999,11,65,155
3,2011,11,19,107
19,2015,5,0,69
17,2013,8,1,106
0,2007,8,12,68
9,2015,3,0,71
6,2000,3,3,83
14,2003,11,4,57
4,2006,6,5,140
3,2008,10,32,86
6,2005,0,7,126
12,1996,6,29,85
14,2012,6,4,63
5,2009,9,7,92
0,2008,7,7,71
3,2007,8,7,56
7,1994,9,30,119
12,1998,0,42,144
0,2009,6,4,95
17,2016,0,7,17
18,2003,0,0,109
12,1997,0,7,85
19,2014,1,0,73
4,2011,6,7,94
16,2007,2,8,44
12,1997,9,7,107
6,2002,0,7,36
12,1996,2,7,143
1,1984,2,0,26
1,1984,6,25,18
12,1998,2,7,145
12,1998,0,7,143
5,2010,8,2,50
5,2006,6,4,60
18,2002,4,10,111
6,2002,8,25,126
17,2014,0,7,130
0,2010,2,8,65
4,2011,8,17,84
14,2011,0,8,2
9,2013,3,66,26
1,1988,8,12,93
12,2001,9,7,23
12,1997,0,7,141
6,2007,8,7,35
12,1997,5,27,118
18,2003,9,25,99
5,2011,6,3,64
6,2000,2,67,66
14,2010,3,16,86
12,1998,0,39,141
6,2002,6,28,49
3,2010,4,19,108
6,2000,0,7,119
11,2000,9,28,120
1,1985,1,0,46
24,1993,1,8,100
1,1986,1,68,26
4,2010,8,12,75
5,2008,5,31,112
12,1998,8,25,121
0,2009,5,32,108
